Tanggal,Waktu,Nama Pengguna,Event
03-June-2021,09:12:31,Admin Pandan Arum,File System LOG dibuat
03-June-2021,09:12:32,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:12:36,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:13:34,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:13:36,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:16:05,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:16:08,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:16:50,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:16:52,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:35:25,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:35:28,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:43:11,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:43:14,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:43:59,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:44:01,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,09:56:07,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,09:56:09,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,10:37:22,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,10:37:25,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
03-June-2021,10:44:50,"mjsodiq, super",super mjsodiq berhasil login
03-June-2021,10:44:53,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
